price_vnd,area_clean,price_per_m2_clean,district,property_type,cluster_kmeans,cluster_tier,dbscan_label,price_per_m2_safe,price_tier_enc,district_enc,log_area,property_type_enc,legal_status_enc,seller_type_enc,bedroom_per_area,bedrooms,frontage
4000000000.0,50.0,80000000.0,Phú Thuận,Căn hộ Cao Câp Vlasta Premier Quận 7 chính thức nhận booking rổ hàng ngoại giao ưu đãi 13%,1,Cao cấp,0,78431372.5490196,1,88,3.9318256327243257,5699,17,525,0.0196078431372549,1.0,0.0
2800000000.0,45.0,62222222.22,Bình Hòa,Căn hộ hạng sang Emerald Boulevard trực tiếp CĐT 1PN+ 2.8tỷ - 2PN 3.9tỷ - 3PN 5.3tỷ full nội thất!,1,Cao cấp,0,60869565.217391305,1,20,3.828641396489095,5919,54,1314,0.021739130434782608,1.0,0.0
2470000000.0,55.3,44665461.12,Dĩ An,Thanh toán gốc lãi chỉ 8.5 triệu/tháng đã dễ dàng sở hữu căn hộ trung tâm Dĩ An,2,Bình dân,0,43872113.676731795,3,50,4.030694535145645,9078,21,148,0.017761989342806397,1.0,0.0
8260000000.0,50.0,165200000.0,Phú Thuận,"[BIỂU TƯỢNG MỚI QUẬN 7] Vlasta Premier - Tuyệt tác ven sông Đào Trí, Bàn giao Full kính tràn viền",3,Luxury,0,161960784.3137255,2,88,3.9318256327243257,9462,17,805,0.0,0.0,0.0
5500000000.0,79.8,68922305.76,Rạch Dừa,"VỐN 1.6 TỶ MUA CĂN 5.5 TỶ SÁT BIỂN VŨNG TÀU, MIỄN GỐC LÃI ĐẾN T1/2029, SỞ HỮU LÂU DÀI, SUN GROUP",1,Cao cấp,0,68069306.93069308,1,117,4.39197696552705,9391,54,1180,0.024752475247524754,2.0,0.0
8150000000.0,80.0,101875000.0,Phú Thuận,"Vlasta Premier Phú Thuận, Căn hộ ven sông Quận 7, Giá từ 4.x tỷ, Chiết khấu lên đến 11%",1,Cao cấp,0,100617283.95061728,2,88,4.394449154672439,9357,17,1301,0.024691358024691357,2.0,0.0
2930000000.0,59.7,49078726.97,Rạch Dừa,"Hàng HOT! Giỏ nội bộ sẵn studio - 1PN + view biển trực diện biển, Sun World. Chiết khấu thẳng 24%",2,Bình dân,0,48270181.21911038,3,117,4.1059436980654525,7375,21,935,0.032948929159802305,2.0,0.0
5500000000.0,70.0,78571428.57,Xuân Thới Sơn,"Nhà phố biệt thự giá tốt căn đẹp giai đoạn 1, đang nhận booking ưu tiên 100 triệu/chỗ có hoàn lại.",1,Cao cấp,0,77464788.73239437,1,165,4.2626798770413155,8330,21,842,0.0,0.0,5.0
3500000000.0,70.0,50000000.0,Tân Uyên,"Nhà phố Bcons City Life Tân Uyên sở hữu ngay chỉ từ 3,5 tỷ - chiết khấu đến 6.5%",2,Bình dân,0,49295774.64788733,1,151,4.2626798770413155,8319,17,140,0.056338028169014086,4.0,0.0
4880000000.0,65.0,75076923.08,Tân Mỹ,"CH liền kề Phú Mỹ Hưng, đối diện ga Tân Mỹ. Chỉ TT 30% tới khi nhận nhà. Hỗ trợ lãi suất 12 tháng",1,Cao cấp,0,73939393.93939394,1,139,4.189654742026425,4463,17,1286,0.0,0.0,0.0
16900000000.0,90.0,187777777.78,Bình Lợi Trung,Bán nhanh trong tháng chỉ 16tỷ9 ngay mặt tiền doanh thu 90tr/tháng,3,Luxury,0,185714285.7142857,2,24,4.51085950651685,3761,54,776,0.12087912087912088,11.0,0.0
